,모집 제목,회사,link,위치,필요 조건,마감일
4345,[중국어필수]웹/앱 전문 디자이너 모집,(주)호화여행사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52754211&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울마포구,경력무관 학력무관 정규직,01/30
4346,오프라인 서비스 풀스택 개발 담당자,(주)엑심베이,/zf_user/jobs/relay/view?view_type=search&rec_idx=52726977&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울구로구,경력 3~15년 초대졸↑ 정규직,02/03
4347,선박 설계/건조 기장 분야 경력직 모집,마린웍스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52801994&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,부산동구,경력 대졸↑ 정규직,03/13
4348,clara AI 투명교정장치(의료기기) 서울 경기지역 영업사원 모집,이노디테크(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52818510&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,신입·경력 초대졸↑ 정규직,02/13
4349,[자동차/엔지니어] DevOps Engineer,로버트월터스코리아(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52899185&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울중구,경력3년↑ 대졸↑ 정규직,01/30
4350,[IT/엔지니어] Frontend Engineer React/Typescript,로버트월터스코리아(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52946170&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울중구,경력5년↑ 대졸↑ 정규직,01/30
4351,외국계 기업 Electrical Engineer  대리과장급,(주)에코써치,/zf_user/jobs/relay/view?view_type=search&rec_idx=52820489&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,경력 4~10년 대졸↑ 정규직,01/30
4352,[긴급] 오라클 ERP 원가.회계 모쥴(FCM) 운용 - 대기업,(주)에임즈인터내셔널코리아,/zf_user/jobs/relay/view?view_type=search&rec_idx=52898936&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기성남시 분당구,경력 5~13년 대졸↑ 정규직,01/30
4353,Key Account Manager (Sales Manager) - 외국계 1위 식품회사,락탈리스코리아유한책임회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52614983&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울서초구,경력 3~10년 대졸↑ 정규직,01/30
4354,인테리어 설계 디자이너 실장급 채용 공고,더블유디에이치주식회사(WDH),/zf_user/jobs/relay/view?view_type=search&rec_idx=52622743&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,경력10년↑ 초대졸↑ 정규직,01/30
4355,[밀리그릿] 중장년 / 제대 군 간부 경력 전환 돕는 사회적기업,(주)밀리그릿,/zf_user/jobs/relay/view?view_type=search&rec_idx=52654174&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기하남시,경력3년↑ 학력무관 정규직,03/07
4356,[Java] 개발 부문 리더 채용 (팀장/실장급),(주)웰컨,/zf_user/jobs/relay/view?view_type=search&rec_idx=52728785&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기화성시,경력12년↑ 초대졸↑ 정규직,02/04
4357,[경력]젬스톤의 성장을 견인할 광고.콘텐츠 영업 매니저 모집,(주)젬스톤,/zf_user/jobs/relay/view?view_type=search&rec_idx=52806772&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울서초구,경력5년↑ 초대졸↑ 정규직·계약직,01/30
4358,국내유명기업 온라인 교육 플랫폼 기획 및 운영 경력직,(주)에스앤티써치,/zf_user/jobs/relay/view?view_type=search&rec_idx=52808110&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강동구,경력 8~15년 대졸↑ 정규직,01/30
4359,태양광발전사업  정규직(기획 및 영업관리) 모집,(주)이룸테크,/zf_user/jobs/relay/view?view_type=search&rec_idx=52805640&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,대전동구,경력2년↑ 초대졸↑ 정규직,03/14
4360,Software Engineer(경력 4~10년),(주)페블스퀘어,/zf_user/jobs/relay/view?view_type=search&rec_idx=52679069&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기성남시 분당구,경력 4~10년 학력무관 정규직,01/30
4361,[연봉협의/성과급/복리후생] 백엔드(쿠버네티스) 다수 채용,(주)제이캐스팅,/zf_user/jobs/relay/view?view_type=search&rec_idx=52907777&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울영등포구,경력 5~13년 대졸↑ 정규직,02/06
4362,[웹디자인] 웹디자이너 모집(아임웹 기반),헤하,/zf_user/jobs/relay/view?view_type=search&rec_idx=52517526&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울관악구,경력무관 학력무관 계약직·인턴직,02/07
4363,분양관 건축모형 프로젝트 영업 / 건축모형 프로젝트 영업 담당,오트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52744842&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,경력무관 학력무관 위촉직·프리랜서,01/30
4364,코인/주식 영상 전문가 모집 기본급 300+인센티브,주식회사소나무그룹(SONAMOOGROUPInc.),/zf_user/jobs/relay/view?view_type=search&rec_idx=52807723&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,경력 학력무관 계약직,02/12
4365,"원자력I&C본부 엔지니어링팀, H/W개발팀, S/W개발팀 경력채용",(주)이투에스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52684450&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기화성시,경력5년↑ 초대졸↑ 정규직,02/28
4366,웅진컴퍼스 : 백엔드 Back-end (JAVA) 개발자 채용,(주)웅진컴퍼스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52825376&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울서초구,경력 4~10년 대졸↑ 정규직,03/15
4367,[SK쉴더스] POS 백엔드 개발자 경력직 채용,에스케이쉴더스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52862696&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,경력3년↑ 대졸↑ 정규직,01/31
4368,(주)사랑모아금융서비스 IT팀 백엔드개발자 경력사원 채용,(주)사랑모아금융서비스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52783240&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,부산부산진구,경력3년↑ 대졸↑ 정규직,02/08
4369,웹/앱 개발자 모집,(주)제이제이홀딩스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52570661&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울마포구,경력2년↑ 초대졸↑ 정규직,02/13
4370,백엔드 및 클라우드 개발자를 모집합니다!,주식회사 터빈크루,/zf_user/jobs/relay/view?view_type=search&rec_idx=52912216&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,광주북구,"경력무관 대졸 정규직 3,000 만원",01/30
4371,모바일 앱 개발자,(주)디핀,/zf_user/jobs/relay/view?view_type=search&rec_idx=52899827&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울강남구,경력1년↑ 학력무관 정규직,03/23
4372,GA 본사 앱 개발자 채용,인카금융서비스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52801562&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울성동구,경력1년↑ 학력무관 계약직,03/13
4373,유아 놀이미술 개발자 모집,삐또래미술 도도키즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=52822981&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,대구달서구,"경력2년↑ 학력무관 정규직·계약직 2,600 만원",02/13
4374,제조업 정보시스템 및 AI 개발자 모집(신입사원),굿파트너스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52939910&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,전북전주시 덕진구,"신입 학력무관 정규직 4,000 만원",02/27
4375,[경력] 전자통신분야 하드웨어 개발자 모집,세영정보통신(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52880251&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경북구미시,"경력5년↑ 학력무관 정규직 4,000 만원",01/30
4376,AMR/AGV 개발자 과장급 모집공고,주식회사콘트로하에츠(KontroHaets),/zf_user/jobs/relay/view?view_type=search&rec_idx=52715749&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기성남시 중원구,"경력5년↑ 학력무관 정규직 3,800 만원",01/30
4377,[하남/정규직/연구직/주5일] 기업부설연구소 서보 모터제어 개발자 모집,주식회사한타스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52891520&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기하남시,"경력3년↑ 학력무관 정규직 4,000 만원",01/30
4378,의료용 소프트웨어 .NET 개발자를 모집합니다.,(주) 현진비즈넷,/zf_user/jobs/relay/view?view_type=search&rec_idx=52525073&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,인천연수구,"신입 학력무관 계약직 2,760 만원",01/30
4379,3년차 이상 경력의 풀스택 개발자를 모집합니다.,주식회사레이월드,/zf_user/jobs/relay/view?view_type=search&rec_idx=52815222&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,대구동구,"경력3년↑ 초대졸 정규직 3,200 만원",01/30
4380,엔플러스(주)에서 소프트웨어개발자및 홈페이지 제작/SNS마케팅 부문에  인재를 모집합니다,엔플러스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52865877&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,부산부산진구,"경력무관 학력무관 정규직 2,640 만원",01/30
4381,(주)그노티 주문관리시스템 웹 개발자 채용공고,(주)그노티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52814363&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울성동구,"경력4년↑ 대졸 정규직 3,300 만원",01/30
4382,[재택근무/중증장애인] 소프트웨어(SW) 개발자 채용,주식회사 케이티링스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52837966&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울금천구,"경력2년↑ 학력무관 계약직 13,500 원",01/30
4383,자체개발 솔루션(AnyMind SimAn) 고도화 개발을 위한 능력있고 책임감 있는 개발자 모집,더스카이랩 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52880070&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기안양시 만안구,"경력3년↑ 학력무관 정규직 3,500 만원",02/18
4384,외국인환자를 위한 비대면 진료 플랫폼 개발자를 찾습니다.,주식회사 한국의료협회,/zf_user/jobs/relay/view?view_type=search&rec_idx=52733513&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울광진구,"경력5년↑ 학력무관 계약직 4,200 만원",01/30
4385,"순천 AI 및 백엔드, 프론트엔드, UI UX 개발자 모집",(수)복지용구의료기,/zf_user/jobs/relay/view?view_type=search&rec_idx=52867197&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,전남순천시,"경력무관 학력무관 정규직 2,880 만원",01/30
4386,부동산 데이터 플랫폼 리얼벨류 시니어 개발자 채용,럭셔리앤하우스부동산중개(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52549121&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울서초구,"경력5년↑ 학력무관 정규직 6,000 만원",02/10
4387,HW 개발자 구인,주식회사 다온시스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52804605&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기군포시,"경력2년↑ 학력무관 정규직 3,000 만원",01/30
4388,"플러터 및 서버, DB, 웹 개발자를 찾습니다.",주식회사 겟블루,/zf_user/jobs/relay/view?view_type=search&rec_idx=52574181&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,충남홍성군,"신입 학력무관 정규직 2,800 만원",01/30
4389,하드웨어 및 펌웨어 개발자 채 (정규직 및 인턴),주식회사 티엠씨솔루션즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=52557845&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,광주북구,"경력무관 학력무관 정규직 3,000 만원",01/30
4390,(주)케어비즈 - 웹 개발자(java) 경력사원 채용 공고(정규직/ 계약직 수시모집),주식회사 케어비즈,/zf_user/jobs/relay/view?view_type=search&rec_idx=52681704&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,서울성동구,"경력4년↑ 학력무관 정규직 5,000 만원",01/30
4391,"하워드랩 주식회사 개발자(임베디드 시스템 및 SW 개발, 회로설계) 정규직 모집",하워드랩 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52749646&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,충북청주시 청원구,"경력무관 학력무관 정규직 2,600 만원",01/30
4392,스마트 공장 자동화를 이끌어갈 능력 있는 C++ 개발자를 모집합니다.,주식회사지니테크,/zf_user/jobs/relay/view?view_type=search&rec_idx=52773921&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경남창원시 성산구,"경력무관 학력무관 정규직 3,500 만원",01/30
4393,.NET 개발자로서 Microsoft Teams 응용 프로그램 개발자를 모집합니다.,데이터로그랩 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52879639&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기용인시 기흥구,"신입 초대졸 정규직 2,800 만원",01/30
4394,(유)라온빛 앱개발자 / 디자이너 / 마케터 모집,(유)라온빛,/zf_user/jobs/relay/view?view_type=search&rec_idx=52687938&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경기남양주시,경력무관 학력무관 정규직,01/30
4395,SW 개발자 채용,주식회사 커먼링크 (COMMONLINK Inc.),/zf_user/jobs/relay/view?view_type=search&rec_idx=52928448&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경력2년↑,"학력무관 정규직 2,640 만원",02/27
4396,Flutter 기반 앱 개발을 이끌어갈 주도적인 개발자를 찾습니다.,주식회사 이노웍스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52537064&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,충남천안시 동남구,"경력2년↑ 학력무관 정규직 2,600 만원",01/30
4397,IoT 및 임베디드 분야 5년 이상 경력의 개발자를 모집합니다.,주식회사 브라운머스킷,/zf_user/jobs/relay/view?view_type=search&rec_idx=52734835&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경력3년↑,"대졸 정규직 3,600 만원",01/30
4399,AI 기반 실내공기질(IAQ) 제어 시스템 R&amp;D 핵심 개발자 모집 (컴공/전자),주식회사 아이에이큐씨엔,/zf_user/jobs/relay/view?view_type=search&rec_idx=52702307&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=10024f3d-93a3-488b-82b0-5860ff990e2d,경력3년↑,"초대졸 정규직 3,000 만원",01/30
4400,PC 소프트웨어 제어 개발자,"주식회사 에스오엘지에이 (SOLGA Co.,Ltd.)",/zf_user/jobs/relay/view?view_type=search&rec_idx=52735775&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경기화성시,"경력5년↑ 학력무관 정규직 4,000 만원",01/30
4401,한자산홀딩스 개발자 채용,주식회사 한자산홀딩스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52763891&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경기시흥시,"경력무관 초대졸 정규직 2,800 만원",01/30
4402,[그린에어솔루션] AI 기반 실내공기질(IAQ) 제어 시스템 R&amp;D 핵심 개발자 모집 (컴공/전자),그린에어솔루션,/zf_user/jobs/relay/view?view_type=search&rec_idx=52692337&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,대구북구,"경력3년↑ 초대졸 정규직 3,000 만원",01/30
4403,안드로이드 &amp; 아이폰 앱 개발자를 모집합니다.,주식회사 히든,/zf_user/jobs/relay/view?view_type=search&rec_idx=52748366&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,대구달서구,"경력5년↑ 학력무관 정규직 4,000 만원",01/30
4404,데이터 엔지니어 및 백엔드 개발자를 찾습니다.,위인터랙트(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52761936&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,서울마포구,"경력무관 초대졸 정규직 3,000 만원",01/30
4405,칠러 개발자 채용 (연구소),（주）웰템,/zf_user/jobs/relay/view?view_type=search&rec_idx=52849157&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경남창원시 마산회원구,"경력5년↑ 학력무관 정규직 6,000 만원",01/30
4406,펌웨어개발자,고구려엔지니어링(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=52536160&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경력무관,"학력무관 정규직 5,400 만원",01/30
4407,S/W개발자(윈도우/안드로이드)채용,보타리에너지주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52816074&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,제주제주시,"경력3년↑ 학력무관 정규직 5,000 만원",02/27
4408,응용프로그램 개발자,(주)코어트러스트,/zf_user/jobs/relay/view?view_type=search&rec_idx=52761211&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,서울구로구,"경력3년↑ 대졸 정규직 4,000 만원",01/30
4409,배터리 BMS HW FW개발자 모집,(주)세코인터페이스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52715549&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경기광명시,"경력무관 학력무관 정규직 3,200 만원",02/28
4410,[경력]풀스택 개발자 채용(NodeJS/Nest/Python/Next),스타오토모빌,/zf_user/jobs/relay/view?view_type=search&rec_idx=52832795&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,서울강남구,경력1년↑ 학력무관 정규직,02/14
4411,부설연구소 -  소프트웨어 개발자 모집,(주)대호아이앤티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52733894&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경남창원시 마산회원구,"경력무관 학력무관 정규직 3,000 만원",03/04
4412,식품회사 개발자(식품가공:탕류/면/떡류 기술자) 모집합니다.,(주)고향식품,/zf_user/jobs/relay/view?view_type=search&rec_idx=52734754&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경기김포시,"경력10년↑ 학력무관 정규직 6,000 만원",01/31
4413,부설연구소-하드웨어 개발자 모집,(주)대호아이앤티,/zf_user/jobs/relay/view?view_type=search&rec_idx=52747940&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경남창원시 마산회원구,"경력무관 학력무관 정규직 3,000 만원",03/04
4414,CS 및 웹 응용 S/W 개발자를 모집합니다.(경력자)(1차 모집공고),코메스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52803501&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경력3년↑,"학력무관 정규직 3,300 만원",01/31
4415,CS 및 웹 응용 S/W 개발자를 모집합니다.(신입)(1차 모집공고),코메스,/zf_user/jobs/relay/view?view_type=search&rec_idx=52803500&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,신입,"학력무관 정규직 2,800 만원",01/31
4416,[오퍼그룹] R&D부서 백앤드 개발자 모집 공고,(주)오퍼그룹,/zf_user/jobs/relay/view?view_type=search&rec_idx=52627595&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,경기부천시,경력무관 학력무관 정규직,02/20
4417,닷넷(.Net) 기반 웹 응용 프로그램 개발자 모집,플랜트에셋 주식회사,/zf_user/jobs/relay/view?view_type=search&rec_idx=52814504&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,서울금천구,"경력5년↑ 학력무관 정규직 3,000 만원",01/30
4418,"펌웨어 응용 프로그램 개발자 및 웹서버, 안드로이드 개발자 채용",주식회사정우엔지니어링,/zf_user/jobs/relay/view?view_type=search&rec_idx=52866933&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,전남장성군,"경력1년↑ 초대졸 정규직 3,360 만원",02/13
4419,웹서버 &amp; 모바일 APP 개발자 채용(1명),주식회사정우엔지니어링,/zf_user/jobs/relay/view?view_type=search&rec_idx=52878873&location=ts&searchword=%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=96fba30a-5933-45cb-8b41-e364adbd7483,전남장성군,"경력무관 초대졸 정규직 3,360 만원",02/06
